Country,cases
Algeria,5723
Angola,43
Benin,319
Botswana,23
Burkina Faso,751
Burundi,19
Cameroon,2579
Cabo Verde,246
Central African Republic,179
Chad,322
Comoros,11
Republic of Congo,288
Democratic Republic of the Congo,991
Ivory Coast,1667
Djibouti,1189
Egypt,9400
Equatorial Guinea,439
Eritrea,39
Eswatini,172
Ethiopia,241
Gabon,661
Gambia,20
Ghana,4263
Guinea,2042
Guinea Bissau,726
Kenya,672
Lesotho,0
Liberia,199
Libya,64
Madagascar,193
Malawi,56
Mali,704
Mauritania,8
Mauritius,332
Morocco,6063
Mozambique,91
Namibia,16
Niger,815
Nigeria,4151
Rwanda,284
Sao Tome and Principe,212
Senegal,1709
Seychelles,11
Sierra Leone,307
Somalia,1054
South Africa,9420
South Sudan,120
Sudan,1164
United Republic of Tanzania,509
Togo,173
Tunisia,1032
Uganda,116
Zambia,267
Zimbabwe,36
Swaziland,0
Western Sahara,0